epoch, training perplexity, valid perplexity, test perplexity
  1,   586.18,   390.29,
  2,   262.56,   263.35,
  3,   202.89,   210.88,
  4,   172.53,   183.20,
  5,   155.53,   171.66,
  6,   144.00,   157.73,
  7,   134.97,   147.79,
  8,   127.81,   140.44,
  9,   122.29,   132.08,
 10,   116.76,   127.64,
 11,   112.42,   119.59,
 12,   108.85,   116.00,
 13,   105.91,   111.86,
 14,   103.38,   107.20,
 15,   100.38,   104.82,
 16,    97.94,   102.83,
 17,    96.00,    98.06,
 18,    94.05,    95.24,
 19,    92.02,    93.22,
 20,    90.75,    92.24,
 21,    89.35,    90.23,
 22,    87.73,    86.44,
 23,    86.58,    85.47,
 24,    85.38,    84.02,
 25,    84.29,    82.71,
 26,    83.15,    80.10,
 27,    81.59,    77.97,
 28,    80.90,    77.12,
 29,    79.78,    76.02,
 30,    79.27,    74.49,
 31,    78.06,    73.78,
 32,    77.35,    71.57,
 33,    76.57,    70.78,
 34,    76.17,    69.89,
 35,    75.27,    68.90,
 36,    74.41,    67.13,
 37,    73.81,    66.35,
 38,    72.90,    66.32,
 39,    72.79,    65.43,
 40,    72.22,    64.11,
end,,,    42.09
