epoch, training perplexity, valid perplexity, test perplexity
  1,   590.97,   364.29,
  2,   233.38,   237.96,
  3,   162.93,   189.35,
  4,   129.81,   160.79,
  5,   107.49,   136.41,
  6,    91.47,   122.95,
  7,    78.06,   105.03,
  8,    65.96,    91.34,
  9,    54.74,    80.49,
 10,    45.21,    70.31,
 11,    37.59,    64.04,
 12,    31.30,    56.46,
 13,    26.35,    53.93,
 14,    22.27,    49.73,
 15,    19.19,    45.21,
 16,    16.78,    43.53,
 17,    14.76,    39.89,
 18,    13.24,    37.87,
 19,    11.98,    36.50,
 20,    10.93,    34.89,
 21,    10.07,    33.80,
 22,     9.33,    32.03,
 23,     8.78,    30.50,
 24,     8.28,    29.21,
 25,     7.81,    28.87,
 26,     7.39,    26.93,
 27,     7.08,    26.90,
 28,     6.82,    26.17,
 29,     6.50,    24.59,
 30,     6.25,    24.82,
 31,     5.38,    17.18,
 32,     3.97,    15.53,
 33,     3.33,    14.58,
 34,     2.95,    13.84,
 35,     2.69,    13.41,
 36,     2.48,    13.08,
 37,     2.33,    12.74,
 38,     2.21,    12.31,
 39,     2.10,    12.16,
 40,     2.01,    12.02,
end,,,     3.18
